epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.54887,1.16802,2.83422,1.26387,0.004,0.20912,0.14585,0.11411,1.14088,2.88431,1.06139,0.0005001,0.0005001,0.0005001
2,11.7823,1.16416,1.72474,1.17916,0.77975,0.02015,0.14803,0.06443,1.68285,2.8513,1.68617,0.00101586,0.00101586,0.00101586
3,15.0055,1.11612,1.41734,1.15392,0.46469,0.08508,0.16262,0.06674,1.53639,2.63378,1.4377,0.0015306,0.0015306,0.0015306
4,18.049,1.13033,1.36665,1.16385,0.4297,0.50783,0.40064,0.21036,1.42648,1.55129,1.34295,0.00166205,0.00166205,0.00166205
5,20.9405,1.14884,1.24589,1.11615,0.66845,0.44629,0.52268,0.25837,1.48312,1.24043,1.54334,0.0016604,0.0016604,0.0016604
6,23.9043,1.09501,1.14725,1.10061,0.67363,0.47438,0.54999,0.31464,1.45607,1.25247,1.51007,0.00165875,0.00165875,0.00165875
7,26.8462,1.07825,1.09711,1.12248,0.54515,0.55301,0.49686,0.24324,1.53444,1.48465,1.35092,0.0016571,0.0016571,0.0016571
8,29.8732,1.03007,1.00433,1.08266,0.57987,0.55481,0.55652,0.31821,1.25128,1.97464,1.13545,0.00165545,0.00165545,0.00165545
9,32.8594,1.07092,0.96601,1.08245,0.59055,0.56459,0.52856,0.28144,1.42247,1.7592,1.29206,0.0016538,0.0016538,0.0016538
10,35.8694,1.0502,0.91311,1.09847,0.68715,0.51232,0.56538,0.31964,1.3309,1.07844,1.20995,0.00165215,0.00165215,0.00165215
11,38.962,1.0503,0.88301,1.08369,0.5931,0.66676,0.6207,0.36363,1.24844,0.85997,1.20063,0.0016505,0.0016505,0.0016505
12,41.9744,1.06801,0.84804,1.07906,0.71305,0.54457,0.61951,0.34319,1.22944,0.8636,1.13652,0.00164885,0.00164885,0.00164885
13,44.9168,0.99937,0.81304,1.07801,0.70258,0.52531,0.58813,0.3152,1.15757,0.94656,1.11968,0.0016472,0.0016472,0.0016472
14,47.9821,1.03563,0.80802,1.06196,0.79172,0.54641,0.65644,0.36826,1.34124,0.93739,1.37089,0.00164555,0.00164555,0.00164555
15,51.0032,0.99374,0.79642,1.08018,0.59994,0.62276,0.5828,0.34427,1.18198,0.88065,1.17374,0.0016439,0.0016439,0.0016439
16,54.0111,0.97297,0.74828,1.04889,0.69219,0.58081,0.6266,0.35738,1.24099,0.80975,1.20678,0.00164225,0.00164225,0.00164225
17,56.989,0.99523,0.73505,1.05558,0.66119,0.54788,0.62737,0.36864,1.24391,0.87147,1.17655,0.00164059,0.00164059,0.00164059
